t sp li co sp.sd li.sd co.sd
1987 29.55 38.5 0.0445020014890503 2.7264140062238 5.36847397502426 0.00665344082684202
1997 30.2 39.425 0.0440725441486667 3.03990553159562 4.41377505729622 0.00788344920082605
2007 29.4 38.75 0.0456773415026195 3.01109061083632 5.04213019695812 0.00851594351629291
2017 30.075 40.075 0.0449259501410217 3.17350812920872 5.85459495194006 0.00747526562294789
2027 29.5 40.2 0.0471756952290937 3.15415883378088 5.38373619195958 0.0095269606863724
2037 29.95 39.65 0.044926232532616 3.0462250703924 5.70447417743526 0.00842155101069115
2047 29.95 40.05 0.0453695907703322 3.09631708440519 5.47230790856599 0.00818815835908359
2057 30.175 40.875 0.0457510087609113 3.12875415526733 5.30692580864492 0.00858528614106893
2067 29.6 39.75 0.0455139098909139 2.55001256909924 5.90849019718713 0.00546827604149575
2077 30.225 39.525 0.0442825589765443 3.61965786738513 6.66020520204395 0.00987290822007334
2087 30.075 39.225 0.04387465316723 2.84097762155105 5.49819317641061 0.00711782734579991
2097 30.2 38.9 0.0432541851292342 2.83023963830917 5.42926542700972 0.00784154324374001
2107 30.025 38.95 0.0435907411567371 2.14221907472195 5.57903585090121 0.00749232973608637
2117 30.175 38.8 0.0430126213061678 3.23353819070832 5.87126859135186 0.00598274368787559
2127 30.15 37.9 0.0421889816536645 2.52728698156333 5.09298159612437 0.00724613180758123
2137 30.775 39.325 0.0420248323690391 2.62617495072108 5.52099721575824 0.00747234415926085
2147 30.05 38.375 0.0435503237738502 3.58021629485548 5.68708613597057 0.00935429433805511
2157 30.375 39.225 0.0431574439996794 2.97586445100734 5.36602560273717 0.00765191706009824
2167 29.6 38.925 0.0449061422105159 2.78088714861523 5.62680170575589 0.00713685686499861
2177 29.875 37.825 0.0428774605191085 2.81194795151889 5.23737798952188 0.00667858108558429
2187 30.05 38.125 0.042972939520744 3.33551210845367 5.26813108494892 0.00762582263259138
2197 29.65 38.625 0.0446080993399292 3.00896097579316 5.7498606449111 0.00817208960080591
2207 29.625 38.075 0.0440924401189449 2.91492622064348 5.19065975748254 0.00780781363798936
2217 29.4 37.1 0.04392212455278 3.16065556328803 5.23205112497565 0.0093479137207551
2227 29.725 36.8 0.0423245804118273 2.62128858505771 4.24988687632253 0.00741741694871207
2237 29.925 37.45 0.0429337594913624 3.31575493202238 4.57389471025655 0.00913253641231148
