t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
642 0.335690225974463 0.386912122355906 0.221866617632509 0.868468065710068 0.934737015073857 0.0724962904127344 0.0721405772233129 0.0773264063008132 0.0519186758730614 0.0783973845931668 0.039046844263845 0.0507568210886181
652 0.343021478513461 0.392630599595573 0.231127012700926 0.861759527410472 0.929069542707017 0.0743158901999088 0.0721851127077705 0.096234516106002 0.0776943265956733 0.0831334536990448 0.0443875581178465 0.0498356613455753
662 0.352628175343616 0.386179736754193 0.233989854608197 0.862635318268493 0.930177339279669 0.0740506449020828 0.0832778117478402 0.0760315447274915 0.062617640582766 0.073210824203318 0.0404255756893676 0.0437512769907961
672 0.356896546870499 0.399737510732459 0.239592242290532 0.866448933558683 0.93191749990541 0.0719919571072629 0.0903951239101918 0.0822571224392181 0.053587354317327 0.0789920680545947 0.0452441688447047 0.0429593251098135
682 0.37129149692136 0.388767685246728 0.240068324633685 0.84879154852282 0.924399032321743 0.0835289710794698 0.0800574940601755 0.0613362408933269 0.0576809046068126 0.0764516116515313 0.0437252664281325 0.0460962542955545
692 0.372009387155714 0.377978855823663 0.246492597342441 0.862787718733265 0.931086351390607 0.0748276407128677 0.089574397197926 0.0836229344545119 0.0615618470166644 0.0763248085408681 0.0357344243021446 0.0519335763651738
702 0.378659209235675 0.381746648916251 0.233783587555685 0.868393929094537 0.935906850265318 0.0736963410567343 0.090785811503969 0.0641197238368742 0.0496382318475726 0.0750639635123906 0.0387332140065612 0.0457608945589434
712 0.382572465430532 0.406963821107295 0.253077076195091 0.860509175580046 0.933519001805524 0.0802496460001289 0.0799370286037835 0.0837428536027115 0.0508547147654283 0.0857627179551613 0.0389512364270498 0.0580480966738887
722 0.360138562886196 0.405204636246255 0.242450646184164 0.878410361018229 0.942936690679656 0.0696833230906804 0.0989716906949704 0.0795732926579778 0.0456249009124356 0.0703513472112264 0.0315856785535746 0.0493375611915036
732 0.390861560179068 0.388298685020308 0.240765764005475 0.856401938395002 0.93120323269569 0.0825009959941715 0.109474813952776 0.0756100940437714 0.0716590696755078 0.0907563953083655 0.0437859153538544 0.0618818215251875
742 0.382830606020253 0.379920802799391 0.242605705519796 0.874226618502474 0.939549799393936 0.0715354399862214 0.0711044556452479 0.0897626677274991 0.0671751594998568 0.0850873959675036 0.0440586789613103 0.0538857095329753
752 0.370194089728187 0.392442963230883 0.244547382074695 0.891961391861606 0.948560294905025 0.0610286808291792 0.0705984352632924 0.0753856842850675 0.0471202165616009 0.073039307683179 0.0331661836006441 0.0480210810035711
762 0.380367656544567 0.375099714721294 0.229464843105025 0.893925222013471 0.949681297682449 0.059941988770316 0.0746052808398885 0.0618623715525379 0.0552101169750584 0.0707011109166869 0.03144629393845 0.0481771972659474
772 0.340811387563981 0.377958569826375 0.238446745921261 0.882593774541909 0.938252991576817 0.0610537076211785 0.0772228964782986 0.0809028156691854 0.0559666425070529 0.0785962440525897 0.0446995552103017 0.0437291097919535
782 0.357250869838116 0.386025127434149 0.242954028999252 0.849710583139442 0.927307097542098 0.0866183675284153 0.0829930032334142 0.07168030824245 0.0575108163467523 0.100516731670633 0.0483943208982521 0.0694480754087204
792 0.350892235964115 0.401657647400383 0.248943099427262 0.887700737123044 0.946751090434281 0.0643426527310896 0.0726293134121313 0.0895813138756632 0.064317356913616 0.0855151886187724 0.0389226050633422 0.0558747766273106
802 0.376421410624385 0.38353943725314 0.241674778434432 0.857682480055271 0.930549321202156 0.081024784893642 0.0691171610490726 0.0725922479308124 0.0574481012226929 0.0963706575387135 0.0499791214758986 0.0601887501634928
812 0.413344569316755 0.393630087661775 0.25031587719219 0.849109095480185 0.928833735635241 0.088069765723365 0.0863936721148266 0.0908166776183365 0.0546150198524588 0.0890272642702468 0.0448273243116296 0.0568795679188213
822 0.393124177914358 0.396638952989525 0.254273988005855 0.857069249157627 0.930797408208374 0.0806776649448554 0.0884754063747866 0.0890826119871873 0.0645999127589014 0.0746837008096596 0.0382711674437976 0.0468078855820035
832 0.361494525617286 0.39250435690069 0.24466837834778 0.862801684162583 0.931953829187691 0.0753005711045144 0.0759642644143591 0.0981000548739837 0.0736106385292731 0.0668875483231699 0.0345073892360615 0.0420417940118525
842 0.382306235109993 0.404479844542894 0.25683141409902 0.881082352628795 0.944318244422394 0.0685283795811346 0.0837562283328122 0.0747375154178149 0.0498254934730359 0.0775842587887935 0.0374045619126642 0.0492531187137748
852 0.387385219391765 0.425016643955751 0.258895095388216 0.876521542724091 0.943837905581614 0.0730115612860571 0.0793288633157211 0.0783984248614413 0.0531820178033834 0.0801284199454188 0.0371562307453679 0.051893863334589
862 0.376899020133926 0.410261033063625 0.25623275650614 0.865720115699642 0.93637883022239 0.0771530556900538 0.0732556179868228 0.0785848032914595 0.0548048077533532 0.0790550778931914 0.0408300961244356 0.047746837822236
872 0.365477368052669 0.411864769391201 0.238378413815309 0.858733251776352 0.93339001754451 0.081761005621005 0.075205083251054 0.0768477554050806 0.0515380974013401 0.0810388239763501 0.0386406473934434 0.0525762870353068
882 0.38251565030134 0.393228023277538 0.243135917300087 0.886997114425617 0.944865230298095 0.0626874808837544 0.0984395485015755 0.0777614882857919 0.0677316413126291 0.0743288702785199 0.0384675544340845 0.0447694882541883
892 0.368523555834534 0.400115188380623 0.243486303422374 0.869081778640878 0.938141145383259 0.0762746473692891 0.080794169160465 0.0746490262614948 0.061450203503298 0.0998055898041317 0.0457150355342958 0.0683379755239482
